rowid,clue,answer,definition,clue_number,puzzle_date,puzzle_name,source_url,source
2916,Profess intention to oust idiot from class (5),CLAIM,Profess,6a,2017-12-01,"Times 26,897",https://times-xwd-times.livejournal.com/1853128.html,times_xwd_times
2917,"Apart, ut infra (7)",ASUNDER,Apart,9a,2017-12-01,"Times 26,897",https://times-xwd-times.livejournal.com/1853128.html,times_xwd_times
2918,Classical law: I study a range of terminology (7),LEXICON,a range of terminology,10a,2017-12-01,"Times 26,897",https://times-xwd-times.livejournal.com/1853128.html,times_xwd_times
2919,"Troublemaker, unknown quantity, one no longer at school (3)",YOB,Troublemaker,11a,2017-12-01,"Times 26,897",https://times-xwd-times.livejournal.com/1853128.html,times_xwd_times
2920,After war he and I sadly not the best of friends? (4-7),FAIR,not the best of friends?,12a,2017-12-01,"Times 26,897",https://times-xwd-times.livejournal.com/1853128.html,times_xwd_times
2921,"Stick around at home, like a sort of pet? (6)",CANINE,like a sort of pet?,14a,2017-12-01,"Times 26,897",https://times-xwd-times.livejournal.com/1853128.html,times_xwd_times
2922,President getting perturbed spoke incoherently (8),PRATTLED,spoke incoherently,15a,2017-12-01,"Times 26,897",https://times-xwd-times.livejournal.com/1853128.html,times_xwd_times
2923,"Country inn, outside which is an historical object (8)",REPUBLIC,Country,17a,2017-12-01,"Times 26,897",https://times-xwd-times.livejournal.com/1853128.html,times_xwd_times
2924,Second Indian dish may make one run! (6),SCURRY,run,19a,2017-12-01,"Times 26,897",https://times-xwd-times.livejournal.com/1853128.html,times_xwd_times
2925,"Question from gangster's follower about destination, making ready? (11)",WHEREWITHAL,ready?,22a,2017-12-01,"Times 26,897",https://times-xwd-times.livejournal.com/1853128.html,times_xwd_times
2926,Like some wine from these cellars (3),SEC,Like some wine,23a,2017-12-01,"Times 26,897",https://times-xwd-times.livejournal.com/1853128.html,times_xwd_times
2927,Selection of words in pamphlet once (7),EXTRACT,Selection of words,25a,2017-12-01,"Times 26,897",https://times-xwd-times.livejournal.com/1853128.html,times_xwd_times
2928,European fixer about to accommodate a set (7),LATVIAN,European,27a,2017-12-01,"Times 26,897",https://times-xwd-times.livejournal.com/1853128.html,times_xwd_times
2929,There's nothing about sort of current needed for nuclear research device (5),LINAC,nuclear research device,28a,2017-12-01,"Times 26,897",https://times-xwd-times.livejournal.com/1853128.html,times_xwd_times
2930,Syrian in a location behind barrier (9),DAMASCENE,Syrian,29a,2017-12-01,"Times 26,897",https://times-xwd-times.livejournal.com/1853128.html,times_xwd_times
2931,Nobody wrote one in the nineteenth century (5),DIARY,Nobody wrote one in the nineteenth century,1d,2017-12-01,"Times 26,897",https://times-xwd-times.livejournal.com/1853128.html,times_xwd_times
2932,Rose as a reactionary in America (7),BOURBON,Rose/a reactionary in America,2d,2017-12-01,"Times 26,897",https://times-xwd-times.livejournal.com/1853128.html,times_xwd_times
2933,Like word very hard to clue one put in “banned” file originally (11),INDEFINABLE,Like word very hard to clue,3d,2017-12-01,"Times 26,897",https://times-xwd-times.livejournal.com/1853128.html,times_xwd_times
2934,Much beer less than completely admirable — get upset inside (6),FIRKIN,Much beer,4d,2017-12-01,"Times 26,897",https://times-xwd-times.livejournal.com/1853128.html,times_xwd_times
2935,Nice English will keep rules and regulations in US location (8),DELAWARE,US location,5d,2017-12-01,"Times 26,897",https://times-xwd-times.livejournal.com/1853128.html,times_xwd_times
2936,One directing eight or ten joining firm (3),COX,One directing eight,6d,2017-12-01,"Times 26,897",https://times-xwd-times.livejournal.com/1853128.html,times_xwd_times
2937,Everyone gets to eat salmon and drink at celebration? (7),ALCOHOL,drink at celebration?,7d,2017-12-01,"Times 26,897",https://times-xwd-times.livejournal.com/1853128.html,times_xwd_times
2938,"Assistant in a fascist party cleared in a month (3,6)",MAN FRIDAY,Assistant,8d,2017-12-01,"Times 26,897",https://times-xwd-times.livejournal.com/1853128.html,times_xwd_times
2939,Communicates a rustic tale animatedly (11),ARTICULATES,Communicates,13d,2017-12-01,"Times 26,897",https://times-xwd-times.livejournal.com/1853128.html,times_xwd_times
2940,"Exercise in gym that could make Walter ache, losing head (9)",CARTWHEEL,Exercise in gym,14d,2017-12-01,"Times 26,897",https://times-xwd-times.livejournal.com/1853128.html,times_xwd_times
2941,Struggled to hold note: a chant ultimately spoiled (8),VITIATED,spoiled,16d,2017-12-01,"Times 26,897",https://times-xwd-times.livejournal.com/1853128.html,times_xwd_times
2942,"City break with awful smell around, not good (7)",PRESTON,City,18d,2017-12-01,"Times 26,897",https://times-xwd-times.livejournal.com/1853128.html,times_xwd_times
2943,On street this person's becoming rebellious (7),RESTIVE,rebellious,20d,2017-12-01,"Times 26,897",https://times-xwd-times.livejournal.com/1853128.html,times_xwd_times
2944,Affection half veiled in phoney greeting (6),SHALOM,greeting,21d,2017-12-01,"Times 26,897",https://times-xwd-times.livejournal.com/1853128.html,times_xwd_times
2945,Story of competition with someone really good knocked out (5),CONTE,Story,24d,2017-12-01,"Times 26,897",https://times-xwd-times.livejournal.com/1853128.html,times_xwd_times
2946,"Vehicle, about to get submerged in part of turning circle? (3)",ARC,part of turning circle?,25d,2017-12-01,"Times 26,897",https://times-xwd-times.livejournal.com/1853128.html,times_xwd_times
2947,"So get pet bird fed without delay? (3,2,4)",OUT OF HAND,So get pet bird fed/without delay?,1d,2019-01-19,Times Cryptic Jumbo 1361,https://times-xwd-times.livejournal.com/2076546.html,times_xwd_times
2948,"Cool about holding box by broken side? Content here is not secure (5,8)",FOOLS PARADISE,Content here is not secure,2d,2019-01-19,Times Cryptic Jumbo 1361,https://times-xwd-times.livejournal.com/2076546.html,times_xwd_times
2949,What signifies a number to chop up (4),HASH,What signifies a number/to chop up,3d,2019-01-19,Times Cryptic Jumbo 1361,https://times-xwd-times.livejournal.com/2076546.html,times_xwd_times
2950,The only organised man calls round in southern town (6-2-6),HENLEY-ON-THAMES,southern town,4d,2019-01-19,Times Cryptic Jumbo 1361,https://times-xwd-times.livejournal.com/2076546.html,times_xwd_times
2951,Eye monk up (3),ORB,Eye,5d,2019-01-19,Times Cryptic Jumbo 1361,https://times-xwd-times.livejournal.com/2076546.html,times_xwd_times
2952,Urgently whisper part of this speech (4),HISS,Urgently whisper,7d,2019-01-19,Times Cryptic Jumbo 1361,https://times-xwd-times.livejournal.com/2076546.html,times_xwd_times
2953,Appears to admit poetry’s beauty (10),COMELINESS,beauty,8d,2019-01-19,Times Cryptic Jumbo 1361,https://times-xwd-times.livejournal.com/2076546.html,times_xwd_times
2954,Look likely to have small card briefly over a higher one (8),THREATEN,Look likely,9d,2019-01-19,Times Cryptic Jumbo 1361,https://times-xwd-times.livejournal.com/2076546.html,times_xwd_times
2955,"Take a host from kibbutz, maybe, including one pet (11)",COMMUNICATE,Take,10d,2019-01-19,Times Cryptic Jumbo 1361,https://times-xwd-times.livejournal.com/2076546.html,times_xwd_times
2956,"Tribesman is artist, top drawer (9)",ISRAELITE,Tribesman,11d,2019-01-19,Times Cryptic Jumbo 1361,https://times-xwd-times.livejournal.com/2076546.html,times_xwd_times
2957,Rank particularly cherished by soldier at first on the up (4),STEP,Rank,12d,2019-01-19,Times Cryptic Jumbo 1361,https://times-xwd-times.livejournal.com/2076546.html,times_xwd_times
2958,Anticipated wood cut has been executed (8),FORESEEN,Anticipated,13d,2019-01-19,Times Cryptic Jumbo 1361,https://times-xwd-times.livejournal.com/2076546.html,times_xwd_times
2959,Presumably one properly left an intangible asset (8),GOODWILL,an intangible asset,19d,2019-01-19,Times Cryptic Jumbo 1361,https://times-xwd-times.livejournal.com/2076546.html,times_xwd_times
2960,"A mark, good? It’s the reverse — a bad one (6)",STIGMA,a bad one,21d,2019-01-19,Times Cryptic Jumbo 1361,https://times-xwd-times.livejournal.com/2076546.html,times_xwd_times
2961,Spirit of country seen in vacation (8),HOLLANDS,Spirit,22d,2019-01-19,Times Cryptic Jumbo 1361,https://times-xwd-times.livejournal.com/2076546.html,times_xwd_times
2962,Tough article in early edition (8),LEATHERY,Tough,23d,2019-01-19,Times Cryptic Jumbo 1361,https://times-xwd-times.livejournal.com/2076546.html,times_xwd_times
2963,"Reason to support marking familiar territory (8,6)",STAMPING GROUND,familiar territory,28d,2019-01-19,Times Cryptic Jumbo 1361,https://times-xwd-times.livejournal.com/2076546.html,times_xwd_times
2964,Stop immediate use of information on envelope (8),POSTDATE,Stop immediate use of/information on envelope,29d,2019-01-19,Times Cryptic Jumbo 1361,https://times-xwd-times.livejournal.com/2076546.html,times_xwd_times
2965,One taking part in regimental ceremonies which don’t occur often (8),RARITIES,which don’t occur often,30d,2019-01-19,Times Cryptic Jumbo 1361,https://times-xwd-times.livejournal.com/2076546.html,times_xwd_times
2966,"Being indisposed, doctor indelibly writing “overindulgence” (5,8)",BINGE DRINKING,overindulgence,32d,2019-01-19,Times Cryptic Jumbo 1361,https://times-xwd-times.livejournal.com/2076546.html,times_xwd_times
2967,Subsidiaries of British farms (8),BRANCHES,Subsidiaries,33d,2019-01-19,Times Cryptic Jumbo 1361,https://times-xwd-times.livejournal.com/2076546.html,times_xwd_times
2968,"Appalling arrogance, in which old Frenchman is showing classical influence (6-5)",GRAECO-ROMAN,classical influence,35d,2019-01-19,Times Cryptic Jumbo 1361,https://times-xwd-times.livejournal.com/2076546.html,times_xwd_times
2969,Washing down accommodation university’s not used (6),HOSING,Washing down,37d,2019-01-19,Times Cryptic Jumbo 1361,https://times-xwd-times.livejournal.com/2076546.html,times_xwd_times
2970,"Ridiculously, grapes came a huge distance (10)",MEGAPARSEC,a huge distance,38d,2019-01-19,Times Cryptic Jumbo 1361,https://times-xwd-times.livejournal.com/2076546.html,times_xwd_times
2971,Detectives order fools to turn up in bursts (9),SPASMODIC,in bursts,40d,2019-01-19,Times Cryptic Jumbo 1361,https://times-xwd-times.livejournal.com/2076546.html,times_xwd_times
2972,Look into playing on computer in the half-dark (8),GLOAMING,the half-dark,42d,2019-01-19,Times Cryptic Jumbo 1361,https://times-xwd-times.livejournal.com/2076546.html,times_xwd_times
2973,"Demand for giraffes perhaps that is hard to fulfil? (4,5)",TALL ORDER,Demand for giraffes perhaps/that is hard to fulfil?,44d,2019-01-19,Times Cryptic Jumbo 1361,https://times-xwd-times.livejournal.com/2076546.html,times_xwd_times
2974,Signs of drug depravity around where you would expect? (8),EVIDENCE,Signs,45d,2019-01-19,Times Cryptic Jumbo 1361,https://times-xwd-times.livejournal.com/2076546.html,times_xwd_times
2975,"Dry course with a dull instructor, principally (4)",WADI,Dry course,50d,2019-01-19,Times Cryptic Jumbo 1361,https://times-xwd-times.livejournal.com/2076546.html,times_xwd_times
2976,"A time to reflect, but not to change (4)",NOON,A time,51d,2019-01-19,Times Cryptic Jumbo 1361,https://times-xwd-times.livejournal.com/2076546.html,times_xwd_times
2977,A mouse is heard in vehicle (4),MINI,vehicle,52d,2019-01-19,Times Cryptic Jumbo 1361,https://times-xwd-times.livejournal.com/2076546.html,times_xwd_times
2978,Letter Cecil only half finished (3),RHO,Letter,55d,2019-01-19,Times Cryptic Jumbo 1361,https://times-xwd-times.livejournal.com/2076546.html,times_xwd_times
2979,Desire of party member to take union vow? (6),LIBIDO,Desire,1a,2016-11-15,Times Cryptic Number 26570,https://times-xwd-times.livejournal.com/1630197.html,times_xwd_times
2980,"Shoot from tree, in clear English (4,4)",OPEN FIRE,Shoot,4a,2016-11-15,Times Cryptic Number 26570,https://times-xwd-times.livejournal.com/1630197.html,times_xwd_times
2981,"Worry eating cake, about 50 stone (9)",CARBUNCLE,stone,10a,2016-11-15,Times Cryptic Number 26570,https://times-xwd-times.livejournal.com/1630197.html,times_xwd_times
2982,Theatre men going over imitation (5),REPRO,imitation,11a,2016-11-15,Times Cryptic Number 26570,https://times-xwd-times.livejournal.com/1630197.html,times_xwd_times
2983,"Where eg Jezebel appears, suffering love for Venetian (7)",OTHELLO,Venetian,12a,2016-11-15,Times Cryptic Number 26570,https://times-xwd-times.livejournal.com/1630197.html,times_xwd_times
2984,Pictures the writer's mature lines (7),IMAGERY,Pictures,13a,2016-11-15,Times Cryptic Number 26570,https://times-xwd-times.livejournal.com/1630197.html,times_xwd_times
2985,Back’s ripped from dress in theatre scrap (5),SCRUB,scrap,14a,2016-11-15,Times Cryptic Number 26570,https://times-xwd-times.livejournal.com/1630197.html,times_xwd_times
2986,Excessive anger by fascist group (8),NEEDLESS,Excessiv/e,15a,2016-11-15,Times Cryptic Number 26570,https://times-xwd-times.livejournal.com/1630197.html,times_xwd_times
2987,Chinese race run round China's capital in simple vehicle (8),HANDCART,simple vehicle,18a,2016-11-15,Times Cryptic Number 26570,https://times-xwd-times.livejournal.com/1630197.html,times_xwd_times
2988,How a soldier operates device (5),GISMO,device,20a,2016-11-15,Times Cryptic Number 26570,https://times-xwd-times.livejournal.com/1630197.html,times_xwd_times
2989,"Carnival scene's penned in time for fooling theoretically (1,6)",A PRIORI,theoretically,23a,2016-11-15,Times Cryptic Number 26570,https://times-xwd-times.livejournal.com/1630197.html,times_xwd_times
2990,"Rendered in oils, a romantic episode (7)",LIAISON,romantic episode,25a,2016-11-15,Times Cryptic Number 26570,https://times-xwd-times.livejournal.com/1630197.html,times_xwd_times
2991,Cossack's ready to regret pinning leaders of Light Brigade back (5),RUBLE,Cossack's ready,26a,2016-11-15,Times Cryptic Number 26570,https://times-xwd-times.livejournal.com/1630197.html,times_xwd_times
2992,Bother! Government department's cut earnings (9),INCOMMODE,Bother,27a,2016-11-15,Times Cryptic Number 26570,https://times-xwd-times.livejournal.com/1630197.html,times_xwd_times
2993,"Some data’s hacked by chap with Times, incidentally (2,3,3)",BY THE BYE,incidentally,28a,2016-11-15,Times Cryptic Number 26570,https://times-xwd-times.livejournal.com/1630197.html,times_xwd_times
2994,Desperate man in his primitive form? (6),URGENT,Desperate,29a,2016-11-15,Times Cryptic Number 26570,https://times-xwd-times.livejournal.com/1630197.html,times_xwd_times
2995,"At Roland-Garros, the shot scores in game (8)",LACROSSE,game,1d,2016-11-15,Times Cryptic Number 26570,https://times-xwd-times.livejournal.com/1630197.html,times_xwd_times
2996,"Respectable citizen, lady's after fare rises (7)",BURGHER,Respectable citizen,2d,2016-11-15,Times Cryptic Number 26570,https://times-xwd-times.livejournal.com/1630197.html,times_xwd_times
2997,"Spit on British paper's leader where people lie (6,3)",DOUBLE BED,where people lie,3d,2016-11-15,Times Cryptic Number 26570,https://times-xwd-times.livejournal.com/1630197.html,times_xwd_times
2998,"Let in respected, working individual heading for office (9-5)",PRESIDENT-ELECT,individual heading for office,5d,2016-11-15,Times Cryptic Number 26570,https://times-xwd-times.livejournal.com/1630197.html,times_xwd_times
2999,Line cut from standard opera (5),NORMA,opera,6d,2016-11-15,Times Cryptic Number 26570,https://times-xwd-times.livejournal.com/1630197.html,times_xwd_times
3000,Current female ruler's topless — wow! (7),IMPRESS,wow,7d,2016-11-15,Times Cryptic Number 26570,https://times-xwd-times.livejournal.com/1630197.html,times_xwd_times
3001,Horse breaking into a sort of dash in Dallas or Washington? (6),EPONYM,Dallas or Washington?,8d,2016-11-15,Times Cryptic Number 26570,https://times-xwd-times.livejournal.com/1630197.html,times_xwd_times
3002,Narrative art's capacity to get brought to book (14),ACCOUNTABILITY,capacity to get brought to book,9d,2016-11-15,Times Cryptic Number 26570,https://times-xwd-times.livejournal.com/1630197.html,times_xwd_times
3003,Dancer's clothing? Stage wear when changing dressing room (9),LEGWARMER,Dancer's clothing,16d,2016-11-15,Times Cryptic Number 26570,https://times-xwd-times.livejournal.com/1630197.html,times_xwd_times
3004,Something in bar to drink before ecstasy in club (8),DOWNBEAT,Something in bar,17d,2016-11-15,Times Cryptic Number 26570,https://times-xwd-times.livejournal.com/1630197.html,times_xwd_times
3005,"After a circus's opening, drum rolls — for him? (7)",ACROBAT,"After a circus's opening, drum rolls — for him?",19d,2016-11-15,Times Cryptic Number 26570,https://times-xwd-times.livejournal.com/1630197.html,times_xwd_times
3006,"Bit of a pulse, so dancing with style (7)",SYSTOLE,Bit of a pulse,21d,2016-11-15,Times Cryptic Number 26570,https://times-xwd-times.livejournal.com/1630197.html,times_xwd_times
3007,"Six in number, gazing round European city (6)",ZAGREB,European city,22d,2016-11-15,Times Cryptic Number 26570,https://times-xwd-times.livejournal.com/1630197.html,times_xwd_times
3008,"People honoured trade, finally, with large corporation? (5)",OBESE,with large corporation,24d,2016-11-15,Times Cryptic Number 26570,https://times-xwd-times.livejournal.com/1630197.html,times_xwd_times
3009,"Travelling US area, Turk delivers cabbage dish (10)",SAUERKRAUT,cabbage dish,1a,2020-06-11,Times 27688,https://times-xwd-times.livejournal.com/2354048.html,times_xwd_times
3010,Unqualified character on the staff (4),FLAT,Unqualified,7a,2020-06-11,Times 27688,https://times-xwd-times.livejournal.com/2354048.html,times_xwd_times
3011,Time one secures a new opening for Indian cooking (8),TANDOORI,Indian cooking,9a,2020-06-11,Times 27688,https://times-xwd-times.livejournal.com/2354048.html,times_xwd_times
3012,Jester initially impressing court in northern city (6),YORICK,Jester,10a,2020-06-11,Times 27688,https://times-xwd-times.livejournal.com/2354048.html,times_xwd_times
3013,Fish served by maid primarily in reception room (6),SALMON,Fish,11a,2020-06-11,Times 27688,https://times-xwd-times.livejournal.com/2354048.html,times_xwd_times
3014,Calming report of woman with phobia (8),SOOTHING,Calming,13a,2020-06-11,Times 27688,https://times-xwd-times.livejournal.com/2354048.html,times_xwd_times
3015,Light-bearer’s container held back by former queen (6-6),CANDLE-HOLDER,Light-bearer,14a,2020-06-11,Times 27688,https://times-xwd-times.livejournal.com/2354048.html,times_xwd_times
3016,"Cuts fish by loch, adopting duke’s crooked posture (12)",LOPSIDEDNESS,crooked posture,17a,2020-06-11,Times 27688,https://times-xwd-times.livejournal.com/2354048.html,times_xwd_times
3017,Old hat banned by doctor penning poem (8),OUTMODED,Old hat,20a,2020-06-11,Times 27688,https://times-xwd-times.livejournal.com/2354048.html,times_xwd_times
3018,Rocky island in southern Irish county (6),SKERRY,Rocky island,21a,2020-06-11,Times 27688,https://times-xwd-times.livejournal.com/2354048.html,times_xwd_times
3019,Hamlet’s odd theory mostly about Polonius’s entrance? (6),THORPE,Hamlet,22a,2020-06-11,Times 27688,https://times-xwd-times.livejournal.com/2354048.html,times_xwd_times
3020,Old man from the east with little desire for food? (8),APPETITE,desire for food,23a,2020-06-11,Times 27688,https://times-xwd-times.livejournal.com/2354048.html,times_xwd_times
3021,Contemptuous cry about Liberal claptrap (4),BLAH,claptrap,25a,2020-06-11,Times 27688,https://times-xwd-times.livejournal.com/2354048.html,times_xwd_times
3022,Fisher’s alarm went off at sea around east of Humber (10),TRAWLERMAN,Fisher,26a,2020-06-11,Times 27688,https://times-xwd-times.livejournal.com/2354048.html,times_xwd_times
3023,Gelatinous substance produced by a fish more than once (4-4),AGAR-AGAR,Gelatinous substance,2d,2020-06-11,Times 27688,https://times-xwd-times.livejournal.com/2354048.html,times_xwd_times
3024,Journalist covering current Muslim festival (3),EID,Muslim festival,3d,2020-06-11,Times 27688,https://times-xwd-times.livejournal.com/2354048.html,times_xwd_times
3025,"Noted canonical hour, by the sound of it (5)",KNOWN,Noted,4d,2020-06-11,Times 27688,https://times-xwd-times.livejournal.com/2354048.html,times_xwd_times
3026,Nob accommodating old Italian poet (7),ARIOSTO,Italian poet,5d,2020-06-11,Times 27688,https://times-xwd-times.livejournal.com/2354048.html,times_xwd_times
3027,"Dog’s plaything originally designed in SW resort (3,6)",TOY POODLE,Dog,6d,2020-06-11,Times 27688,https://times-xwd-times.livejournal.com/2354048.html,times_xwd_times
3028,Promotion of article supporting ancient city in EU country (11),FURTHERANCE,Promotion,7d,2020-06-11,Times 27688,https://times-xwd-times.livejournal.com/2354048.html,times_xwd_times
3029,"Obscure place to shop, having note for daughter (6)",ARCANE,Obscure,8d,2020-06-11,Times 27688,https://times-xwd-times.livejournal.com/2354048.html,times_xwd_times
3030,"Novel 1,760-yard hike consuming a couple of days (11)",MIDDLEMARCH,Novel,12d,2020-06-11,Times 27688,https://times-xwd-times.livejournal.com/2354048.html,times_xwd_times
3031,Suitable former exercise regime any number accepted (9),EXPEDIENT,Suitable,15d,2020-06-11,Times 27688,https://times-xwd-times.livejournal.com/2354048.html,times_xwd_times
3032,Russian empress in dire straits over article (8),TSARITSA,Russian empress,16d,2020-06-11,Times 27688,https://times-xwd-times.livejournal.com/2354048.html,times_xwd_times
3033,Popular girl to west of Ohio? (7),INDIANA,to west of Ohio,18d,2020-06-11,Times 27688,https://times-xwd-times.livejournal.com/2354048.html,times_xwd_times
3034,In Columbus he lacked a measure of corn (6),BUSHEL,,19d,2020-06-11,Times 27688,https://times-xwd-times.livejournal.com/2354048.html,times_xwd_times
3035,Rose’s part in Sophocles’s Antigone finally overcoming friend (5),SEPAL,Rose’s part,21d,2020-06-11,Times 27688,https://times-xwd-times.livejournal.com/2354048.html,times_xwd_times
3036,Expedition missing out top of Umbrian peak (3),TOR,peak,24d,2020-06-11,Times 27688,https://times-xwd-times.livejournal.com/2354048.html,times_xwd_times
3037,Engineer chap getting work (9),MANOEUVRE,Engineer,1a,2020-08-24,Times 27751,https://times-xwd-times.livejournal.com/2395580.html,times_xwd_times
3038,Emperor's hearing complaint tavern ignored (5),TITUS,Emperor,6a,2020-08-24,Times 27751,https://times-xwd-times.livejournal.com/2395580.html,times_xwd_times
3039,Hot wind from Morocco is back for the moment (7),SIROCCO,Hot wind,9a,2020-08-24,Times 27751,https://times-xwd-times.livejournal.com/2395580.html,times_xwd_times
3040,"Sketch feature of Rugby, swapping parts (7)",OUTLINE,,10a,2020-08-24,Times 27751,https://times-xwd-times.livejournal.com/2395580.html,times_xwd_times
3041,"Play character in first book, missing third (3)",NOH,Play,11a,2020-08-24,Times 27751,https://times-xwd-times.livejournal.com/2395580.html,times_xwd_times
3042,Person regularly needing rope to control alien mob (11),PROLETARIAT,mob,12a,2020-08-24,Times 27751,https://times-xwd-times.livejournal.com/2395580.html,times_xwd_times
3043,"Visit work briefly (4,2)",CALL IN,Visit,14a,2020-08-24,Times 27751,https://times-xwd-times.livejournal.com/2395580.html,times_xwd_times
3044,"Healthy, inspiring new boxer's one who may win (8)",FINALIST,one who may win,15a,2020-08-24,Times 27751,https://times-xwd-times.livejournal.com/2395580.html,times_xwd_times
3045,"Lacking bottle now, perhaps, like some capsules (8)",UNMANNED,Lacking bottle now/ like some capsules /i,17a,2020-08-24,Times 27751,https://times-xwd-times.livejournal.com/2395580.html,times_xwd_times
3046,A few occupying Irish compound (6),ISOMER,compound,19a,2020-08-24,Times 27751,https://times-xwd-times.livejournal.com/2395580.html,times_xwd_times
3047,"Bent over London wife's nonsense (6,5)",DOUBLE DUTCH,nonsense,22a,2020-08-24,Times 27751,https://times-xwd-times.livejournal.com/2395580.html,times_xwd_times
3048,Ruin nearly all the planet (3),MAR,Ruin,23a,2020-08-24,Times 27751,https://times-xwd-times.livejournal.com/2395580.html,times_xwd_times
3049,Agree with head office quarry's been identified (5-2),TALLY-HO,quarry's been identified,25a,2020-08-24,Times 27751,https://times-xwd-times.livejournal.com/2395580.html,times_xwd_times
3050,"Tablets not working by the sound of it — get less (4,3)",EASE OFF,get less,27a,2020-08-24,Times 27751,https://times-xwd-times.livejournal.com/2395580.html,times_xwd_times
3051,Retired musical group's section of joint (5),TENON,section of joint,28a,2020-08-24,Times 27751,https://times-xwd-times.livejournal.com/2395580.html,times_xwd_times
3052,"Instantly fancy a go (4,1,4)",LIKE A SHOT,Instantly,29a,2020-08-24,Times 27751,https://times-xwd-times.livejournal.com/2395580.html,times_xwd_times
3053,"One sculpting ""Mother and Child"" (5)",MASON,One sculpting,1d,2020-08-24,Times 27751,https://times-xwd-times.livejournal.com/2395580.html,times_xwd_times
3054,Arctic swimmer raced north with Prince Harry (7),NARWHAL,Arctic swimmer,2d,2020-08-24,Times 27751,https://times-xwd-times.livejournal.com/2395580.html,times_xwd_times
3055,Save Hebridean island lake that's remarkable (11),EXCEPTIONAL,remarkable,3d,2020-08-24,Times 27751,https://times-xwd-times.livejournal.com/2395580.html,times_xwd_times
3056,"500 idle, maybe, for spell in Caribbean (6)",VOODOO,spell in Caribbean,4d,2020-08-24,Times 27751,https://times-xwd-times.livejournal.com/2395580.html,times_xwd_times
3057,Obscure English drunkard at Morecambe? (8),ESOTERIC,Obscure,5d,2020-08-24,Times 27751,https://times-xwd-times.livejournal.com/2395580.html,times_xwd_times
3058,Add up as well as down (3),TOT,Add up,6d,2020-08-24,Times 27751,https://times-xwd-times.livejournal.com/2395580.html,times_xwd_times
3059,Capital consumption is breaking bailiff's heart (7),TBILISI,Capital,7d,2020-08-24,Times 27751,https://times-xwd-times.livejournal.com/2395580.html,times_xwd_times
3060,Turn chopped fungi over for observer (9),SPECTATOR,observer,8d,2020-08-24,Times 27751,https://times-xwd-times.livejournal.com/2395580.html,times_xwd_times
3061,Number Ten has ruined European continent's housing (11),ANAESTHESIA,Number,13d,2020-08-24,Times 27751,https://times-xwd-times.livejournal.com/2395580.html,times_xwd_times
3062,"Revolt due to pact being broken (4,5)",COUP DETAT,Revolt,14d,2020-08-24,Times 27751,https://times-xwd-times.livejournal.com/2395580.html,times_xwd_times
3063,"Exploit voting procedure, producing one-sided document (4,4)",DEED POLL,one-sided document,16d,2020-08-24,Times 27751,https://times-xwd-times.livejournal.com/2395580.html,times_xwd_times
3064,Sentimental woman gets nothing in return (7),MAUDLIN,Sentimental,18d,2020-08-24,Times 27751,https://times-xwd-times.livejournal.com/2395580.html,times_xwd_times
3065,Huge insect covers a small distance (7),MAMMOTH,Huge,20d,2020-08-24,Times 27751,https://times-xwd-times.livejournal.com/2395580.html,times_xwd_times
3066,Mark runs animal food stores (6),STREAK,Mark,21d,2020-08-24,Times 27751,https://times-xwd-times.livejournal.com/2395580.html,times_xwd_times
3067,Row about bringing in first of frigates for overhaul (5),REFIT,overhaul,24d,2020-08-24,Times 27751,https://times-xwd-times.livejournal.com/2395580.html,times_xwd_times
3068,That's the end of holiday working (3),YON,,26d,2020-08-24,Times 27751,https://times-xwd-times.livejournal.com/2395580.html,times_xwd_times
3069,Prohibition has young hooligan stuck in outhouse (6),BARNED,stuck in outhouse,1a,2018-10-07,Mephisto 3031,https://times-xwd-times.livejournal.com/2019829.html,times_xwd_times
3070,Gift to hospital — holy book (6),GRANTH,holy book,5a,2018-10-07,Mephisto 3031,https://times-xwd-times.livejournal.com/2019829.html,times_xwd_times
3071,Flea perhaps coming to grief in Erica’s teapot (12),ECTOPARASITE,Flea perhaps,9a,2018-10-07,Mephisto 3031,https://times-xwd-times.livejournal.com/2019829.html,times_xwd_times
3072,Nocturnal animal may be food to a snake (7),NAGAPIE,Nocturnal animal,10a,2018-10-07,Mephisto 3031,https://times-xwd-times.livejournal.com/2019829.html,times_xwd_times
3073,Leading Greek character said to be a grass (4),ALFA,a grass,13a,2018-10-07,Mephisto 3031,https://times-xwd-times.livejournal.com/2019829.html,times_xwd_times
3074,Maybe an old bird perches finally on beast of burden (6),SCAMEL,Maybe an old bird,14a,2018-10-07,Mephisto 3031,https://times-xwd-times.livejournal.com/2019829.html,times_xwd_times
3075,Creature from outer space children design (4),ETCH,design,16a,2018-10-07,Mephisto 3031,https://times-xwd-times.livejournal.com/2019829.html,times_xwd_times
3076,Scripture that may be rendered in a chant (6),TANACH,Scripture,17a,2018-10-07,Mephisto 3031,https://times-xwd-times.livejournal.com/2019829.html,times_xwd_times
3077,Dung and fibre kept in tin (6),SHAIRN,Dung,18a,2018-10-07,Mephisto 3031,https://times-xwd-times.livejournal.com/2019829.html,times_xwd_times
3078,"Robber making return, getting cut short, one captured (6)",REIVER,Robber,22a,2018-10-07,Mephisto 3031,https://times-xwd-times.livejournal.com/2019829.html,times_xwd_times
